ID,accepteret_dansk_navn,species,wcvp_species,gbif_species
4007,Knudet pileurt (underart),Persicaria lapathifolia subsp. lapathifolia,Persicaria lapathifolia,Persicaria lapathifolia
4008,Bleg pileurt,Persicaria lapathifolia subsp. pallida,Persicaria tomentosa,Persicaria lapathifolia
4009,Syrenbladet pileurt,Persicaria lapathifolia subsp. syringifolia,Persicaria lapathifolia,Persicaria lapathifolia
4010,Fersken-pileurt,Persicaria maculosa,Persicaria maculosa,Persicaria maculosa
4011,Fersken-pileurt × liden pileurt,Persicaria maculosa × minor,Persicaria maculosa,NA
4012,NA,Persicaria maculosa subsp. hirticaulis,Persicaria extremiorientalis,Persicaria extremiorientalis
4013,NA,Persicaria maculosa subsp. maculosa,Persicaria maculosa,Persicaria maculosa
4014,Liden pileurt,Persicaria minor,Persicaria minor,Persicaria minor
4015,Orientalsk pileurt,Persicaria orientalis,Persicaria orientalis,Persicaria orientalis
4016,NA,Persicaria pensylvanica,Persicaria pensylvanica,Persicaria pensylvanica
4017,NA,Persicaria viscosa,Persicaria viscosa,Persicaria viscosa
4018,Hvid hestehov,Petasites albus,Petasites albus,Petasites albus
4019,Rød hestehov,Petasites hybridus,Petasites hybridus,Petasites hybridus
4020,Japansk hestehov,Petasites japonicus,Petasites japonicus,Petasites japonicus
4021,Vellugtende hestehov,Petasites pyrenaicus,Petasites pyrenaicus,Petasites pyrenaicus
4022,Filtet hestehov,Petasites spurius,Petasites spurius,Petasites spurius
4023,Knopnellike,Petrorhagia prolifera,Petrorhagia prolifera,Petrorhagia prolifera
4024,Fjeld-knopnellike,Petrorhagia saxifraga,Petrorhagia saxifraga,Petrorhagia saxifraga
4025,Persille,Petroselinum crispum,Petroselinum crispum,Petroselinum crispum
4026,Have-petunia,Petunia ×hybrida,Petunia x atkinsiana,Petunia atkinsiana
4027,Hvid petunia,Petunia axillaris,Petunia axillaris,Petunia axillaris
4028,Violetblomstret petunia,Petunia integrifolia,Petunia integrifolia,Petunia integrifolia
4029,Bakke-svovlrod,Peucedanum oreoselinum,Peucedanum oreoselinum,Oreoselinum nigrum
4030,Mesterrod,Peucedanum ostruthium,Peucedanum ostruthium,Imperatoria ostruthium
4031,Kær-svovlrod,Peucedanum palustre,Peucedanum palustre,NA
4032,Teglskorpe,Peyssonnelia dubyi,,Peyssonnelia dubyi
4033,Klokke-honningurt,Phacelia campanularia,Phacelia campanularia,Phacelia campanularia
4034,NA,Phacelia ciliata,Phacelia ciliata,Phacelia ciliata
4035,NA,Phacelia minor,Phacelia minor,Phacelia minor
4036,Honningurt,Phacelia tanacetifolia,Phacelia tanacetifolia,Phacelia tanacetifolia
4037,NA,Phacotus lenticularis,,Phacotus lenticularis
4038,NA,Phaeoceros laevis,,Phaeoceros laevis
4039,Glat hornløv,Phaeoceros laevis subsp. carolinianus,,Phaeoceros carolinianus
4040,Snohårsalge,Phaeophila dendroides,,Phaeophila dendroides
4041,NA,Phalaris angusta,Phalaris angusta,Phalaris angusta
4042,Rørgræs,Phalaris arundinacea,Phalaris arundinacea,Phalaris arundinacea
4043,Båndgræs,Phalaris arundinacea 'Picta',Phalaris arundinacea,NA
4044,Rørgræs (varietet),Phalaris arundinacea var. arundinacea,Phalaris arundinacea,Phalaris arundinacea
4045,Kortakset kanariegræs,Phalaris brachystachys,Phalaris brachystachys,Phalaris brachystachys
4046,Kanariegræs,Phalaris canariensis,Phalaris canariensis,Phalaris canariensis
4047,Violet glansfrø,Phalaris coerulescens,Phalaris coerulescens,Phalaris coerulescens
4048,Liden glansfrø,Phalaris minor,Phalaris minor,Phalaris minor
4049,Stak-glansfrø,Phalaris paradoxa,Phalaris paradoxa,Phalaris paradoxa
4050,Afskåret kanariegræs,Phalaris truncata,Phalaris truncata,Phalaris truncata
4051,Tilspidset dværgmos,Phascum cuspidatum,,Tortula acaulon
4052,Pral-bønne,Phaseolus coccineus,Phaseolus coccineus,Phaseolus coccineus
4053,NA,Phaseolus leiospermus,Strophostyles leiosperma,Strophostyles leiosperma
4054,Have-bønne,Phaseolus vulgaris,Phaseolus vulgaris,Phaseolus vulgaris
4055,Asiatisk stenurt,Phedimus aizoon,Phedimus aizoon,Phedimus aizoon
4056,Sibirisk stenurt,Phedimus hybridus,Phedimus hybridus,Phedimus hybridus
4057,Koreansk stenurt,Phedimus kamtschaticus,Phedimus kamtschaticus,Phedimus kamtschaticus
4058,Rød stenurt,Phedimus spurius,Phedimus spurius,Phedimus spurius
4059,NA,Phedimus stoloniferus,Phedimus stolonifer,Phedimus stoloniferus
4060,Dunet egebregne,Phegopteris connectilis,Phegopteris connectilis,Phegopteris connectilis
4061,NA,Philadelphus ×lemoinei,Philadelphus x lemoinei,NA
4062,NA,Philadelphus ×virginalis,Philadelphus x virginalis,Philadelphus virginalis
4063,Almindelig pibeved,Philadelphus coronarius,Philadelphus coronarius,Philadelphus coronarius
4064,NA,Philadelphus floridus,Philadelphus inodorus,Philadelphus inodorus
4065,Lugtløs pibeved,Philadelphus inodorus,Philadelphus inodorus,Philadelphus inodorus
4066,NA,Philadelphus lewisii,Philadelphus lewisii,Philadelphus lewisii
4067,NA,Philadelphus pubescens,Philadelphus pubescens,Philadelphus pubescens
4068,Arnells vandtuemos,Philonotis arnellii,,Philonotis capillaris
4069,Fladbladet vandtuemos,Philonotis caespitosa,,Philonotis caespitosa
4070,Kalk-vandtuemos,Philonotis calcarea,,Philonotis calcarea
4071,Kilde-vandtuemos,Philonotis fontana,,Philonotis fontana
4072,Spæd vandtuemos,Philonotis marchica,,Philonotis marchica
4073,Ligesidet vandtuemos,Philonotis tomentella,,Philonotis tomentella
4074,Sand-rottehale,Phleum arenarium,Phleum arenarium,Phleum arenarium
4075,Stribet rottehale,Phleum exaratum,Phleum exaratum,Phleum exaratum
4076,Sten-rottehale,Phleum paniculatum,Phleum paniculatum,Phleum paniculatum
4077,Glat rottehale,Phleum phleoides,Phleum phleoides,Phleum phleoides
4078,Eng-rottehale,Phleum pratense,Phleum pratense,Phleum pratense
4079,Knold-rottehale,Phleum pratense subsp. nodosum,Phleum pratense,NA
4080,Eng-rottehale (underart),Phleum pratense subsp. pratense,Phleum pratense,Phleum pratense
4081,Tynd rottehale,Phleum subulatum,Phleum subulatum,Phleum subulatum
4082,Løvehale,Phlomis russeliana,Phlomis russeliana,Phlomis russeliana
4083,Samos-løvehale,Phlomis samia,Phlomis samia,Phlomis samia
4084,Have-floks,Phlox hortorum,,Phlox hortorum
4085,Høst-floks,Phlox paniculata,Phlox paniculata,Phlox paniculata
4086,Lyng-floks,Phlox subulata,Phlox subulata,Phlox subulata
4087,Ægte daddelpalme,Phoenix dactylifera,Phoenix dactylifera,Phoenix dactylifera
4088,Håret glansmispel,Photinia villosa,Pourthiaea villosa,Pourthiaea villosa
4089,Tagrør,Phragmites australis,Phragmites australis,Phragmites australis
4090,NA,Phragmites australis f. flavescens,Phragmites australis,Phragmites australis
4091,NA,Phragmites australis f. picta,Phragmites australis,Phragmites australis
4092,NA,Phragmites australis f. stolonifera,Phragmites australis,Phragmites australis
4093,Rosenkovmærke,Phuopsis stylosa,Phuopsis stylosa,Phuopsis stylosa
4094,Bugtet ribbeblad,Phycodrys rubens,,Phycodrys rubens
4095,Bånd-rødblad,Phyllophora crispa,,Phyllophora crispa
4096,Fliget rødblad,Phyllophora pseudoceranoides,,Phyllophora pseudoceranoides
4097,NA,Phymatolithon calcareum,,Phymatolithon calcareum
4098,NA,Phymatolithon laevigatum,,Phymatolithon laevigatum
4099,NA,Phymatolithon lenormandii,,Phymatolithon lenormandii
4100,NA,Phymatolithon purpureum,,Phymatolithon purpureum
4101,NA,Phymatolithon tenue,,Phymatolithon tenue
4102,Jødekirsebær,Physalis alkekengi,Alkekengi officinarum,NA
4103,NA,Physalis angulata,Physalis angulata,Physalis angulata
4104,Jordbærtomat,Physalis grisea,Physalis grisea,Physalis grisea
4105,Ananaskirsebær,Physalis peruviana,Physalis peruviana,Physalis peruviana
4106,Tomatillo,Physalis philadelphica,Physalis philadelphica,Physalis philadelphica
4107,Bulet muddermos,Physcomitrella patens,,Physcomitrium patens
4108,Kort pærekapsel,Physcomitrium eurystomum,,Physcomitrium eurystomum
4109,Almindelig pærekapsel,Physcomitrium pyriforme,,Physcomitrium pyriforme
4110,NA,Physocarpus amurensis,Physocarpus amurensis,Physocarpus amurensis
4111,Katost-blærespiræa,Physocarpus malvaceus,Physocarpus malvaceus,Physocarpus malvaceus
4112,Engriflet blærespiræa,Physocarpus monogynus,Physocarpus monogynus,Physocarpus monogynus
4113,Almindelig blærespiræa,Physocarpus opulifolius,Physocarpus opulifolius,Physocarpus opulifolius
4114,NA,Physospermum cornubiense,Physospermum cornubiense,Physospermum cornubiense
4115,Drejeblomst,Physostegia virginiana,Physostegia virginiana,Physostegia virginiana
4116,Blå rapunsel,Phyteuma nigrum,Phyteuma nigrum,Phyteuma nigrum
4117,Aks-rapunsel,Phyteuma spicatum,Phyteuma spicatum,Phyteuma spicatum
4118,Bleg rapunsel,Phyteuma spicatum subsp. coeruleum,Phyteuma spicatum,Phyteuma spicatum
4119,Aks-rapunsel (underart),Phyteuma spicatum subsp. spicatum,Phyteuma spicatum,Phyteuma spicatum
4120,Asiatisk kermesbær,Phytolacca acinosa,Phytolacca acinosa,Phytolacca acinosa
4121,Lutz-gran,Picea ×lutzii,Picea x lutzii,Picea lutzii
4122,Rød-gran,Picea abies,Picea abies,Picea abies
4123,NA,Picea abies f. viminalis,Picea abies,Picea abies
4124,NA,Picea abies f. virgata,Picea abies,Picea abies
4125,Almindelig rød-gran,Picea abies subsp. abies,Picea abies,Picea abies
4126,Altai-gran,Picea abies subsp. obovata,Picea obovata,Picea obovata
4127,Engelmanns-gran,Picea engelmannii,Picea engelmannii,Picea engelmannii
4128,Hvid-gran,Picea glauca,Picea laxa,Picea glauca
4129,Sort-gran,Picea mariana,Picea mariana,Picea mariana
4130,Omorika-gran,Picea omorika,Picea omorika,Picea omorika
4131,Orientalsk gran,Picea orientalis,Picea orientalis,Picea orientalis
4132,Blå-gran,Picea pungens,Picea pungens,Picea pungens
4133,Sitka-gran,Picea sitchensis,Picea sitchensis,Picea sitchensis
4134,Ru bittermælk,Picris hieracioides,Picris hieracioides,Picris hieracioides
4135,NA,Picris sprengerana,Picris rhagadioloides,Picris sprengerana
4136,Pomerans-høgeurt,Pilosella aurantiaca,Pilosella aurantiaca,Pilosella aurantiaca
4137,Pomerans-høgeurt (underart),Pilosella aurantiaca subsp. aurantiaca,Pilosella aurantiaca,Pilosella aurantiaca
4138,Pomerans-høgeurt × håret høgeurt,Pilosella aurantiaca subsp. aurantiaca × officinarum subsp. officinarum,Pilosella aurantiaca,NA
4139,Eng-høgeurt,Pilosella aurantiaca subsp. dimorpha,Pilosella caespitosa,Pilosella caespitosa
4140,Kvast-høgeurt,Pilosella cymosa,Pilosella cymosa,Pilosella cymosa
4141,Enblomstret høgeurt,Pilosella cymosa subsp. cymosa,Pilosella cymosa,Pilosella cymosa
4142,NA,Pilosella cymosa subsp. praealta,Pilosella piloselloides,Pilosella piloselloides
4143,Kvast-høgeurt (varietet),Pilosella cymosa var. cymosa,Pilosella cymosa,NA
4144,Blød kvast-høgeurt,Pilosella cymosa var. pubescens,Pilosella cymosa,Pilosella cymosa
4145,Gaffel-høgeurt,Pilosella flagellaris,Pilosella flagellaris,Pilosella flagellaris
4146,Svensk høgeurt,Pilosella floribunda,Pilosella floribunda,Pilosella floribunda
4147,Lancetbladet høgeurt,Pilosella lactucella,Pilosella lactucella,Pilosella lactucella
4148,Lancetbladet høgeurt × håret høgeurt,Pilosella lactucella × officinarum subsp. officinarum,Pilosella lactucella,NA
4149,Håret høgeurt,Pilosella officinarum,Pilosella officinarum,Pilosella officinarum
4150,Håret høgeurt (underart),Pilosella officinarum subsp. officinarum,Pilosella officinarum,Pilosella officinarum
4151,Klit-høgeurt,Pilosella officinarum subsp. peleteriana,Pilosella peleteriana,Pilosella peleteriana
4152,Pilledrager,Pilularia globulifera,Pilularia globulifera,Pilularia globulifera
4153,NA,Pimpinella anisoides,Pimpinella anisoides,Pimpinella anisoides
4154,Anis,Pimpinella anisum,Pimpinella anisum,Pimpinella anisum
4155,Stor pimpinelle,Pimpinella major,Pimpinella major,Pimpinella major
4156,Hårfrugtet pimpinelle,Pimpinella peregrina,Pimpinella peregrina,Pimpinella peregrina
4157,Almindelig pimpinelle,Pimpinella saxifraga,Pimpinella saxifraga,Pimpinella saxifraga
4158,Blånende pimpinelle,Pimpinella saxifraga subsp. nigra,Pimpinella saxifraga,Pimpinella nigra
4159,Almindelig pimpinelle (underart),Pimpinella saxifraga subsp. saxifraga,Pimpinella saxifraga,Pimpinella saxifraga
4160,Vibefedt,Pinguicula vulgaris,Pinguicula vulgaris,Pinguicula vulgaris
4161,Banks fyr,Pinus banksiana,Pinus banksiana,Pinus banksiana
4162,Cembra-fyr,Pinus cembra,Pinus cembra,Pinus cembra
4163,Almindelig cembra-fyr,Pinus cembra subsp. cembra,Pinus cembra,Pinus cembra
4164,Sibirisk fyr,Pinus cembra subsp. sibirica,Pinus sibirica,Pinus sibirica
4165,Klit-fyr,Pinus contorta,Pinus contorta,Pinus contorta
4166,Murrayanaklit-fyr,Pinus contorta subsp. murrayana,Pinus contorta,Pinus contorta
4167,Klit-fyr (varietet),Pinus contorta var. contorta,Pinus contorta,Pinus contorta
4168,Brednålet klit-fyr,Pinus contorta var. latifolia,Pinus contorta,Pinus contorta
4169,NA,Pinus griffithii,Pinus wallichiana,NA
4170,Bjerg-fyr,Pinus mugo,Pinus mugo,Pinus mugo
4171,Bjerg-fyr × skov-fyr,Pinus mugo × sylvestris,Pinus mugo,NA
4172,Rundskællet bjerg-fyr,Pinus mugo subsp. ×rotundata,Pinus mugo,NA
4173,Bjerg-fyr (underart),Pinus mugo subsp. mugo,Pinus mugo,Pinus mugo
4174,Fransk bjerg-fyr,Pinus mugo subsp. uncinata,Pinus uncinata,Pinus uncinata
4175,Østrigsk fyr,Pinus nigra,Pinus nigra,Pinus nigra
4176,Østrigsk fyr (underart),Pinus nigra subsp. nigra,Pinus nigra,Pinus nigra
4177,Korsikansk fyr,Pinus nigra var. corsicana,Pinus nigra,Pinus nigra
4178,Almindelig østrigsk fyr,Pinus nigra var. nigra,Pinus nigra,NA
4179,NA,Pinus pallasiana,Pinus nigra,Pinus pallasiana
4180,NA,Pinus parviflora,Pinus parviflora,Pinus parviflora
4181,Silke-fyr,Pinus peuce,Pinus peuce,Pinus peuce
4182,Gul fyr,Pinus ponderosa,Pinus ponderosa,Pinus ponderosa
4183,Beg-fyr,Pinus rigida,Pinus rigida,Pinus rigida
4184,Weymouths-fyr,Pinus strobus,Pinus strobus,Pinus strobus
4185,Skov-fyr,Pinus sylvestris,Pinus sylvestris,Pinus sylvestris
4186,Nordisk skov-fyr,Pinus sylvestris var. lapponica,Pinus sylvestris,Pinus sylvestris
4187,Almindelig skov-fyr,Pinus sylvestris var. sylvestris,Pinus sylvestris,Pinus sylvestris
4188,Rishirse,Piptatherum miliaceum,Oloptum miliaceum,Piptatherum miliaceum
4189,Muslingeblomst,Pistia stratiotes,Pistia stratiotes,Pistia stratiotes
4190,Almindelig ært,Pisum sativum,Lathyrus oleraceus,Lathyrus oleraceus
4191,Mark-ært,Pisum sativum var. arvense,Lathyrus oleraceus,Lathyrus oleraceus
4192,Have-ært,Pisum sativum var. sativum,Lathyrus oleraceus,Lathyrus oleraceus
4193,Radeløv-hindeblad,Plagiochila asplenioides,,Plagiochila asplenioides
4194,Radeløv-hindeblad (underart),Plagiochila asplenioides subsp. asplenioides,,NA
4195,Liden hindeblad,Plagiochila asplenioides subsp. porelloides,,Plagiochila porelloides
4196,Fælled-krybstjerne,Plagiomnium affine,,Plagiomnium affine
4197,Gærde-krybstjerne,Plagiomnium cuspidatum,,Plagiomnium cuspidatum
4198,Raslende krybstjerne,Plagiomnium elatum,,Plagiomnium elatum
4199,Mose-krybstjerne,Plagiomnium ellipticum,,Plagiomnium ellipticum
4200,Stor krybstjerne,Plagiomnium medium,,Plagiomnium medium
4201,Næb-krybstjerne,Plagiomnium rostratum,,Plagiomnium rostratum
4202,Bølget krybstjerne,Plagiomnium undulatum,,Plagiomnium undulatum
4203,Oeders stribemos,Plagiopus oederianus,,Plagiopus oederianus
4204,Skævspore,Plagiospora gracilis,Pearsonia cajanifolia,Plagiospora gracilis
4205,Hulbladet tæppemos,Plagiothecium cavifolium,,Plagiothecium cavifolium
4206,Gran-tæppemos,Plagiothecium curvifolium,,Plagiothecium curvifolium
4207,NA,Plagiothecium denticulatum,,Plagiothecium denticulatum
4208,Almindelig tæppemos,Plagiothecium denticulatum var. denticulatum,,Plagiothecium denticulatum
4209,Mose-tæppemos,Plagiothecium denticulatum var. undulatum,,Plagiothecium denticulatum
4210,Retkapslet tæppemos,Plagiothecium laetum,,Plagiothecium laetum
4211,Spinkel tæppemos,Plagiothecium latebricola,,Plagiothecium latebricola
4212,Lund-tæppemos,Plagiothecium nemorale,,Plagiothecium nemorale
4213,Gylden tæppemos,Plagiothecium succulentum,,Plagiothecium succulentum
4214,Bølget tæppemos,Plagiothecium undulatum,,Plagiothecium undulatum
4215,NA,Planctococcus sphaerocystiformis,,Planctococcus sphaerocystiformis
4216,NA,Planktosphaeria gelatinosa,,Planktosphaeria gelatinosa
4217,Afrikansk vejbred,Plantago afra,Plantago afra,Plantago afra
4218,Grenet vejbred,Plantago arenaria,Plantago indica,Plantago arenaria
4219,NA,Plantago aristata,Plantago aristata,Plantago aristata
4220,Bellardis vejbred,Plantago bellardii,Plantago bellardii,Plantago bellardii
4221,Fliget vejbred,Plantago coronopus,Plantago coronopus,Plantago coronopus
4222,NA,Plantago coronopus subsp. coronopus,Plantago coronopus,Plantago coronopus
4223,NA,Plantago coronopus subsp. weldenii,Plantago weldenii,Plantago weldenii
4224,Sydeuropæisk vejbred,Plantago lagopus,Plantago lagopus,Plantago lagopus
4225,Lancet-vejbred,Plantago lanceolata,Plantago lanceolata,Plantago lanceolata
4226,NA,Plantago lanceolata subsp. altissima,Plantago altissima,Plantago lanceolata
4227,NA,Plantago lanceolata subsp. lanceolata,Plantago lanceolata,Plantago lanceolata
4228,NA,Plantago loeflingii,Plantago loeflingii,Plantago loeflingii
4229,Spidstakket vejbred,Plantago macrorhiza,Plantago coronopus,Plantago macrorhiza
4230,Glat vejbred,Plantago major,Plantago major,Plantago major
4231,Ager-vejbred,Plantago major subsp. intermedia,Plantago major,NA
4232,Glat vejbred (underart),Plantago major subsp. major,Plantago major,Plantago major
4233,Eng-vejbred,Plantago major subsp. winteri,Plantago major,Plantago uliginosa
4234,Strand-vejbred,Plantago maritima,Plantago maritima,Plantago maritima
4235,Dunet vejbred,Plantago media,Plantago media,Plantago media
4236,NA,Plantago ovata,Plantago ovata,Plantago ovata
4237,NA,Plantago rugelii,Plantago rugelii,Plantago rugelii
4238,NA,Plantago tenuiflora,Plantago tenuiflora,Plantago tenuiflora
4239,Strandbo,Plantago uniflora,Plantago unibracteata,NA
4240,NA,Plantago virginica,Plantago virginica,Plantago virginica
4241,Bakke-gøgelilje,Platanthera bifolia,Platanthera bifolia,Platanthera bifolia
4242,Bakke-gøgelilje (underart),Platanthera bifolia subsp. bifolia,Platanthera bifolia,Platanthera bifolia
4243,Bakke-gøgelilje × skov-gøgelilje,Platanthera bifolia subsp. bifolia × chlorantha,Platanthera bifolia,NA
4244,Langsporet gøgelilje,Platanthera bifolia subsp. latiflora,Platanthera bifolia,Platanthera bifolia
4245,Langsporet gøgelilje × skov-gøgelilje,Platanthera bifolia subsp. latiflora × chlorantha,Platanthera bifolia,NA
4246,Skov-gøgelilje,Platanthera chlorantha,Platanthera chlorantha,Platanthera chlorantha
4247,Almindelig platan,Platanus ×hispanica,Platanus x hispanica,Platanus hispanica
4248,Enkønnet spindmos,Platydictya jungermannioides,,Platydictya jungermannioides
4249,Mørk yngleknop,Platygyrium repens,,Platygyrium repens
4250,Mølplante,Plectranthus fruticosus,Plectranthus fruticosus,Plectranthus fruticosus
4251,Dværgbambus,Pleioblastus pygmaeus,Pleioblastus variegatus,Pleioblastus variegatus
4252,Siddende sylbladsmos,Pleuridium acuminatum,,Pleuridium acuminatum
4253,Kortstilket sylbladsmos,Pleuridium subulatum,Renealmia alpinia,Pleuridium subulatum
4254,Blærefrø,Pleurospermum austriacum,Pleurospermum austriacum,Pleurospermum austriacum
4255,NA,Pleurotaenium coronatum,,Pleurotaenium coronatum
4256,NA,Pleurotaenium ehrenbergii,,Pleurotaenium ehrenbergii
4257,NA,Pleurotaenium trabecula,,Pleurotaenium trabecula
4258,Trind fyrremos,Pleurozium schreberi,,Pleurozium schreberi
4259,Kamtang,Plocamium cartilagineum,,Plocamium cartilagineum
4260,Elegant rødfjer,Plumaria plumosa,,Plumaria plumosa
4261,NA,Pneophyllum confervicola,,Pneophyllum confervicola
4262,NA,Pneophyllum coronatum,Porophyllum coloratum,Pneophyllum coronatum
4263,NA,Pneophyllum fragile,,Pneophyllum fragile
4264,NA,Pneophyllum limitatum,,Pneophyllum limitatum
4265,NA,Pneophyllum lobescens,,Pneophyllum lobescens
4266,NA,Pneophyllum myriocarpum,,Pneophyllum myriocarpum
4267,Enårig rapgræs,Poa annua,Poa annua,Poa annua
4268,Enårig rapgræs × lav rapgræs,Poa annua ×supina,Poa annua,NA
4269,Løg-rapgræs,Poa bulbosa,Poa bulbosa,Poa bulbosa
4270,Sudetisk rapgræs,Poa chaixii,Poa chaixii,Poa chaixii
4271,Fladstrået rapgræs,Poa compressa,Poa compressa,Poa compressa
4272,Fladstrået rapgræs (underart),Poa compressa subsp. compressa,Poa compressa,Poa compressa
4273,Langes rapgræs,Poa compressa subsp. langiana,Poa compressa,Poa compressa
4274,Lund-rapgræs,Poa nemoralis,Poa nemoralis,Poa nemoralis
4275,Stortoppet rapgræs,Poa palustris,Poa palustris,Poa palustris
4276,NA,Poa palustris var. fertilis,Poa palustris,NA
4277,NA,Poa palustris var. palustris,Poa palustris,NA
4278,Eng-rapgræs,Poa pratensis,Poa pratensis,Poa pratensis
4279,Smalbladet rapgræs,Poa pratensis subsp. angustifolia,Poa angustifolia,NA
4280,Blågrøn rapgræs,Poa pratensis subsp. irrigata,Poa humilis,Poa humilis
4281,Eng-rapgræs (underart),Poa pratensis subsp. pratensis,Poa pratensis,Poa pratensis
4282,NA,Poa pratensis subsp. subcaerulea,Poa humilis,Poa humilis
4283,Kæmpe-rapgræs,Poa remota,Poa remota,Poa remota
4284,Lav rapgræs,Poa supina,Poa supina,Poa supina
4285,Almindelig rapgræs,Poa trivialis,Poa trivialis,Poa trivialis
4286,NA,Poa trivialis subsp. sylvicola,Poa trivialis,Poa trivialis
4287,NA,Poa trivialis subsp. trivialis,Poa trivialis,Poa trivialis
4288,Smal urnekapsel,Pogonatum aloides,,Pogonatum aloides
4289,Dværg-urnekapsel,Pogonatum nanum,,Pogonatum nanum
4290,Stor urnekapsel,Pogonatum urnigerum,,Pogonatum urnigerum
4291,Blød nikkemos,Pohlia annotina,,Pohlia annotina
4292,Gulkuglet nikkemos,Pohlia bulbifera,,Pohlia bulbifera
4293,Fin nikkemos,Pohlia camptotrachela,,Pohlia camptotrachela
4294,Opaliserende nikkemos,Pohlia cruda,,Pohlia cruda
4295,Bæk-nikkemos,Pohlia drummondii,,Pohlia drummondii
4296,Langhalset nikkemos,Pohlia elongata,,Pohlia elongata
4297,Tråd nikkemos,Pohlia filum,,Pohlia filum
4298,Mørk nikkemos,Pohlia lescuriana,,Pohlia lescuriana
4299,Gul nikkemos,Pohlia lutescens,,Pohlia lutescens
4300,Sand nikkemos,Pohlia marchica,,Pohlia marchica
4301,Spæd voksmos,Pohlia melanodon,,Pohlia melanodon
4302,Almindelig nikkemos,Pohlia nutans,,Pohlia nutans
4303,Snoet nikkemos,Pohlia proligera,,Pohlia proligera
4304,Sphagnum-nikkemos,Pohlia sphagnicola,,Pohlia sphagnicola
4305,Lysegrøn voksmos,Pohlia wahlenbergii,,Pohlia wahlenbergii
4306,NA,Polemonium acutiflorum,Polemonium villosum,Polemonium acutiflorum
4307,NA,Polemonium boreale,Polemonium boreale,Polemonium boreale
4308,Jakobsstige,Polemonium caeruleum,Polemonium caeruleum,Polemonium caeruleum
4309,Firbladet mangefrø,Polycarpon tetraphyllum,Polycarpon tetraphyllum,Polycarpon tetraphyllum
4310,NA,Polycnemum arvense,Polycnemum arvense,Polycnemum arvense
4311,Bitter mælkeurt,Polygala amarella,Polygala amarella,Polygala amarella
4312,NA,Polygala comosa,Polygala comosa,Polygala comosa
4313,Spæd mælkeurt,Polygala serpyllifolia,Polygala serpyllifolia,Polygala serpyllifolia
4314,Almindelig mælkeurt,Polygala vulgaris,Polygala vulgaris,Polygala vulgaris
4315,NA,Polygala vulgaris subsp. oxyptera,Polygala vulgaris,Polygala vulgaris
4316,NA,Polygala vulgaris subsp. vulgaris,Polygala vulgaris,Polygala vulgaris
4317,NA,Polygonatum hirtum,Polygonatum latifolium,Polygonatum latifolium
4318,Stor konval,Polygonatum multiflorum,Polygonatum multiflorum,Polygonatum multiflorum
4319,Hybrid-konval,Polygonatum multiflorum × odoratum,Polygonatum multiflorum,NA
4320,Kantet konval,Polygonatum odoratum,Polygonatum odoratum,Polygonatum odoratum
4321,Krans-konval,Polygonatum verticillatum,Polygonatum verticillatum,Polygonatum verticillatum
4322,NA,Polygonum achoreum,Polygonum achoreum,Polygonum achoreum
4323,NA,Polygonum arenarium,Polygonum arenarium,Polygonum arenarium
4324,NA,Polygonum arenarium subsp. pulchellum,Polygonum arenarium,Polygonum arenarium
4325,NA,Polygonum argyrocoleon,Polygonum argyrocoleon,Polygonum argyrocoleum
4326,Vej-pileurt,Polygonum aviculare,Polygonum aviculare,Polygonum aviculare
4327,Vej-pileurt (underart),Polygonum aviculare subsp. aviculare,Polygonum aviculare,Polygonum aviculare
4328,NA,Polygonum aviculare subsp. excelsius,Polygonum excelsius,Polygonum excelsius
4329,Liggende vej-pileurt,Polygonum aviculare subsp. microspermum,Polygonum arenastrum,Polygonum arenastrum
4330,Smalbladet vej-pileurt,Polygonum aviculare subsp. neglectum,Polygonum aviculare,Polygonum aviculare
4331,Spidsbladet vej-pileurt,Polygonum aviculare subsp. rurivagum,Polygonum rurivagum,Polygonum aviculare
4332,Russisk pileurt,Polygonum bellardii,Polygonum bellardii,Polygonum bellardii
4333,Strand-pileurt,Polygonum oxyspermum,Polygonum oxyspermum,Polygonum oxyspermum
4334,NA,Polygonum paniculatum,Koenigia mollis,Polygonum paniculatum
4335,NA,Polygonum patulum,Polygonum patulum,Polygonum patulum
4336,NA,Polygonum patulum subsp. kitaibellianum,Polygonum patulum,NA
4337,NA,Polygonum perfoliatum,Persicaria perfoliata,Persicaria perfoliata
4338,Sand-pileurt,Polygonum raii,Polygonum raii,Polygonum raii
4339,Norsk pileurt,Polygonum raii subsp. norvegicum,Polygonum norvegicum,Polygonum norvegicum
4340,Sand-pileurt (underart),Polygonum raii subsp. raii,Polygonum raii,NA
4341,NA,Polygonum salicifolium,Persicaria amphibia,Polygonum salicifolium
4342,Rødkløft,Polyides rotunda,,Polyides rotunda
4343,Sydlig engelsød,Polypodium cambricum,Polypodium cambricum,Polypodium cambricum
4344,Storbladet engelsød,Polypodium interjectum,Polypodium interjectum,Polypodium interjectum
4345,Storbladet engelsød × almindelig engelsød,Polypodium interjectum × vulgare,Polypodium interjectum,NA
4346,Almindelig engelsød,Polypodium vulgare,Polypodium vulgare,Polypodium vulgare
4347,Strand-skæggræs,Polypogon maritimus,Polypogon maritimus,Polypogon maritimus
4348,Skæggræs,Polypogon monspeliensis,Polypogon monspeliensis,Polypogon monspeliensis
