family,genus,species,N
Cyperaceae,Eleocharis,Eleocharis palustris,20787
Cyperaceae,Eleocharis,Eleocharis quinqueflora,1728
Cyperaceae,Eleocharis,Eleocharis uniglumis,6237
Poaceae,Elymus,Elymus caninus,1868
Poaceae,Elymus,Elymus athericus,2438
Poaceae,Thinopyrum,Thinopyrum junceiforme,86
Poaceae,Elymus,Elymus repens,92135
Ericaceae,Empetrum,Empetrum nigrum,176586
Onagraceae,Epilobium,Epilobium hirsutum,68013
Onagraceae,Epilobium,Epilobium lamyi,1531
Onagraceae,Epilobium,Epilobium montanum,12698
Onagraceae,Epilobium,Epilobium obscurum,7563
Onagraceae,Epilobium,Epilobium palustre,43080
Onagraceae,Epilobium,Epilobium parviflorum,21544
Onagraceae,Epilobium,Epilobium roseum,760
Onagraceae,Epilobium,Epilobium tetragonum,4545
Orchidaceae,Epipactis,Epipactis atrorubens,49
Orchidaceae,Epipactis,Epipactis helleborine,5299
Orchidaceae,Epipactis,Epipactis helleborine,5299
Orchidaceae,Epipactis,Epipactis helleborine,5299
Orchidaceae,Epipactis,Epipactis leptochila,56
Orchidaceae,Epipactis,Epipactis palustris,2270
Orchidaceae,Epipactis,Epipactis phyllanthes,113
Orchidaceae,Epipactis,Epipactis purpurata,95
Orchidaceae,Epipogium,Epipogium aphyllum,22
Equisetaceae,Equisetum,Equisetum arvense,44670
Equisetaceae,Equisetum,Equisetum fluviatile,58618
Equisetaceae,Equisetum,Equisetum hyemale,1509
Equisetaceae,Equisetum,Equisetum palustre,43669
Equisetaceae,Equisetum,Equisetum pratense,2267
Equisetaceae,Equisetum,Equisetum sylvaticum,4925
Equisetaceae,Equisetum,Equisetum telmateia,2240
Equisetaceae,Equisetum,Equisetum variegatum,63
Ericaceae,Erica,Erica tetralix,62128
Asteraceae,Erigeron,Erigeron acris,2730
Cyperaceae,Eriophorum,Eriophorum angustifolium,67411
Cyperaceae,Eriophorum,Eriophorum gracile,2
Cyperaceae,Eriophorum,Eriophorum latifolium,177
Cyperaceae,Eriophorum,Eriophorum vaginatum,46652
Geraniaceae,Erodium,Erodium cicutarium,4471
Apiaceae,Eryngium,Eryngium maritimum,2147
Brassicaceae,Erysimum,Erysimum strictum,14
Celastraceae,Euonymus,Euonymus europaeus,7031
Asteraceae,Eupatorium,Eupatorium cannabinum,27438
Euphorbiaceae,Euphorbia,Euphorbia palustris,9
Orobanchaceae,Euphrasia,Euphrasia arctica,73
Orobanchaceae,Euphrasia,Euphrasia dunensis,29
Orobanchaceae,Euphrasia,Euphrasia micrantha,203
Orobanchaceae,Euphrasia,Euphrasia nemorosa,405
Orobanchaceae,Euphrasia,Euphrasia officinalis,27
Orobanchaceae,Euphrasia,Euphrasia vernalis,311
Orobanchaceae,Euphrasia,Euphrasia stricta,1820
Fagaceae,Fagus,Fagus sylvatica,70944
Polygonaceae,Fallopia,Fallopia dumetorum,336
Poaceae,Festuca,Festuca filiformis,16
Poaceae,Festuca,Festuca ovina,44412
Poaceae,Festuca,Festuca beckeri,36
Poaceae,Festuca,Festuca rubra,329288
Poaceae,Festuca,Festuca rubra,329288
Poaceae,Festuca,Festuca rubra,329288
Ranunculaceae,Ficaria,Ficaria ambigua,133
Ranunculaceae,Ficaria,Ficaria verna,11409
Rosaceae,Filipendula,Filipendula ulmaria,82687
Rosaceae,Filipendula,Filipendula vulgaris,7260
Rosaceae,Fragaria,Fragaria vesca,3380
Rosaceae,Fragaria,Fragaria viridis,1663
Rhamnaceae,Frangula,Frangula alnus,17456
Oleaceae,Fraxinus,Fraxinus excelsior,42571
Liliaceae,Gagea,Gagea lutea,1636
Liliaceae,Gagea,Gagea minima,70
Liliaceae,Gagea,Gagea pratensis,132
Liliaceae,Gagea,Gagea spathacea,555
Lamiaceae,Galeopsis,Galeopsis bifida,11421
Rubiaceae,Galium,Galium aparine,57386
Rubiaceae,Galium,Galium boreale,2618
Rubiaceae,Galium,Galium mollugo,14450
Rubiaceae,Galium,Galium odoratum,12266
Rubiaceae,Galium,Galium elongatum,1152
Rubiaceae,Galium,Galium palustre,68570
Rubiaceae,Galium,Galium saxatile,45667
Rubiaceae,Galium,Galium sterneri,511
Rubiaceae,Galium,Galium uliginosum,19448
Rubiaceae,Galium,Galium valdepilosum,7
Rubiaceae,Galium,Galium verum,54150
Fabaceae,Genista,Genista anglica,9561
Fabaceae,Genista,Genista germanica,1
Fabaceae,Genista,Genista pilosa,1217
Fabaceae,Genista,Genista tinctoria,988
Gentianaceae,Gentiana,Gentiana pneumonanthe,3051
Gentianaceae,Gentianella,Gentianella amarella,104
Gentianaceae,Gentianella,Gentianella campestris,171
